Frequency (Hz),Kinetic Energy (J),Electron Count
0.0,0.0,0.0
2004008016032.0642,0.0,0.0
4008016032064.1284,0.0,0.0
6012024048096.192,0.0,0.0
8016032064128.257,0.0,0.0
10020040080160.32,0.0,0.0
12024048096192.385,0.0,0.0
14028056112224.45,0.0,0.0
16032064128256.514,0.0,0.0
18036072144288.58,0.0,0.0
20040080160320.64,0.0,0.0
22044088176352.707,0.0,0.0
24048096192384.77,0.0,0.0
26052104208416.836,0.0,0.0
28056112224448.9,0.0,0.0
30060120240480.965,0.0,0.0
32064128256513.027,0.0,0.0
34068136272545.09,0.0,0.0
36072144288577.16,0.0,0.0
38076152304609.22,0.0,0.0
40080160320641.28,0.0,0.0
42084168336673.35,0.0,0.0
44088176352705.414,0.0,0.0
46092184368737.48,0.0,0.0
48096192384769.54,0.0,0.0
50100200400801.6,0.0,0.0
52104208416833.67,0.0,0.0
54108216432865.734,0.0,0.0
56112224448897.8,0.0,0.0
58116232464929.86,0.0,0.0
60120240480961.93,0.0,0.0
62124248496993.99,0.0,0.0
64128256513026.055,0.0,0.0
66132264529058.12,0.0,0.0
68136272545090.18,0.0,0.0
70140280561122.25,0.0,0.0
72144288577154.31,0.0,0.0
74148296593186.38,0.0,0.0
76152304609218.44,0.0,0.0
78156312625250.5,0.0,0.0
80160320641282.56,0.0,0.0
82164328657314.62,0.0,0.0
84168336673346.7,0.0,0.0
86172344689378.77,0.0,0.0
88176352705410.83,0.0,0.0
90180360721442.89,0.0,0.0
92184368737474.95,0.0,0.0
94188376753507.02,0.0,0.0
96192384769539.08,0.0,0.0
98196392785571.14,0.0,0.0
100200400801603.2,0.0,0.0
102204408817635.28,0.0,0.0
104208416833667.34,0.0,0.0
106212424849699.4,0.0,0.0
108216432865731.47,0.0,0.0
110220440881763.53,0.0,0.0
112224448897795.6,0.0,0.0
114228456913827.66,0.0,0.0
116232464929859.72,0.0,0.0
118236472945891.78,0.0,0.0
120240480961923.86,0.0,0.0
122244488977955.92,0.0,0.0
124248496993987.98,0.0,0.0
126252505010020.05,0.0,0.0
128256513026052.11,0.0,0.0
